日期,收盘,开盘,高,低,交易量,收盘,涨跌幅
2021年2月2日,239.51,241.07,242.31,238.70,25.92,430125632,-0.06
2021年2月1日,239.65,235.44,242.49,232.48,33.31,430125632,3.32
2021年1月29日,231.96,235.99,238.02,231.35,42.50,430125632,-2.92
2021年1月28日,238.93,235.63,242.62,235.10,49.11,430125632,2.59
2021年1月27日,232.90,237.89,240.44,230.17,69.87,430125632,0.25
2021年1月26日,232.33,232.01,234.17,230.08,49.17,430125632,1.22
2021年1月25日,229.53,229.12,229.75,224.33,33.15,430125632,1.58
2021年1月22日,225.95,227.08,230.07,225.80,30.17,430125632,0.44
2021年1月21日,224.97,224.70,226.30,222.42,30.75,430125632,0.28
2021年1月20日,224.34,217.70,225.79,217.29,37.78,430125632,3.65
2021年1月19日,216.44,214.01,216.97,212.65,30.48,430125632,1.78
2021年1月15日,212.65,213.52,214.51,212.03,31.75,430125632,-0.17
2021年1月14日,213.02,216.25,217.43,212.74,29.35,430125632,-1.53
2021年1月13日,216.34,214.03,216.75,213.98,20.09,430125632,0.66
2021年1月12日,214.93,216.58,217.05,213.34,23.25,430125632,-1.18
2021年1月11日,217.49,218.46,218.91,216.75,23.05,430125632,-0.97
2021年1月8日,219.62,218.68,220.58,217.03,22.96,430125632,0.61
2021年1月7日,218.29,214.03,219.34,213.72,27.69,430125632,2.85
2021年1月6日,212.25,212.40,216.45,212.01,35.93,430125632,-2.59
2021年1月5日,217.90,217.54,218.48,216.00,23.82,430125632,0.10
2021年1月4日,217.69,222.63,222.89,214.90,37.13,430125632,-2.13
2020年12月31日,222.42,221.70,223.00,219.68,20.94,430125632,0.33
2020年12月30日,221.68,225.00,225.62,221.50,20.27,430125632,-1.10
2020年12月29日,224.15,226.03,227.15,223.60,17.40,430125632,-0.36
2020年12月28日,224.96,224.50,225.99,223.03,17.93,430125632,0.99
2020年12月24日,222.75,221.42,223.61,221.20,10.55,430125632,0.78
2020年12月23日,221.02,223.25,223.53,220.87,18.70,430125632,-1.30
2020年12月22日,223.94,222.68,225.62,222.22,22.64,430125632,0.61
2020年12月21日,222.59,217.60,223.99,217.31,37.18,430125632,1.83
2020年12月18日,218.59,218.59,219.69,216.02,63.35,430125632,-0.38
2020年12月17日,219.42,219.70,220.87,217.93,32.52,430125632,0.06
2020年12月16日,219.28,214.75,220.11,214.72,34.60,430125632,2.41
2020年12月15日,214.13,215.18,215.23,212.26,27.02,430125632,-0.03
2020年12月14日,214.20,212.99,216.18,212.94,28.80,430125632,0.44
2020年12月11日,213.26,210.05,213.32,209.11,30.98,430125632,1.30
2020年12月10日,210.52,211.40,213.05,210.39,26.47,430125632,-0.60
2020年12月9日,211.80,215.22,215.22,211.24,32.44,430125632,-1.95
2020年12月8日,216.01,214.13,216.95,212.93,23.28,430125632,0.80
2020年12月7日,214.29,214.41,215.47,213.03,24.62,430125632,-0.03
